experiment id,best path,best cost,node expansion,elapsed time,graph size,graph MST cost,estimated cost,graph min edge,graph max edge,graph mean edge,graph std edge,bounding method,inital cost,ML prioritizer,ML depth,multi process depth
0,"[0, 8, 4, 1, 2, 9, 5, 7, 3, 6, 0]",22.17104467241352,"[1, 9, 72, 504, 3024, 15120, 60480, 181440, 362880, 362880]",0.9101340770721436,10,15.950844619618657,23.154938294626582,1.0,9.486832980505138,4.341251082999078,2.170044835922727,brute force,inf,none,0,0
1,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 55, 211, 540, 943, 1195, 1047, 609, 178]",0.0815310478210449,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,none,2,0
2,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 55, 211, 540, 943, 1195, 1047, 609, 178]",0.0798261165618896,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,none,3,0
3,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 55, 211, 540, 943, 1195, 1047, 609, 178]",0.0799231529235839,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,none,4,0
4,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 55, 211, 540, 943, 1195, 1047, 609, 178]",0.0798149108886718,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,none,5,0
5,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 189, 435, 681, 691, 462, 216, 52]",0.4524600505828857,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,random forest,2,0
6,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 189, 429, 648, 613, 370, 162, 33]",0.2770748138427734,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,random forest,3,0
7,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 189, 429, 648, 613, 370, 162, 33]",1.2192959785461426,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,random forest,4,0
8,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 189, 429, 648, 613, 370, 162, 33]",4.033071041107178,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,random forest,5,0
9,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 387, 502, 427, 241, 101, 26]",0.0549380779266357,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,neural network,2,0
10,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 387, 502, 427, 241, 101, 26]",0.0609879493713378,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,neural network,3,0
11,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 387, 502, 427, 241, 101, 26]",0.1049978733062744,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,neural network,4,0
12,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 185, 387, 502, 427, 241, 101, 26]",0.2314951419830322,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,inf,neural network,5,0
13,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 188, 400, 531, 456, 257, 109, 26]",0.0501141548156738,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,estimate,none,2,0
14,"[0, 3, 6, 8, 7, 2, 9, 5, 1, 4, 0]",31.49716741589413,"[1, 9, 54, 188, 400, 531, 456, 257, 109, 26]",0.0495343208312988,10,25.66621552104883,31.812139090053073,1.0,11.40175425099138,6.610538181069438,2.822667465942424,edge,estimate,none,3,0
